datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,100251.14079284668,151940.51579284668,0.0025114079284667135
2020-01-04 09:30:00-05:00,101350.06735992432,227069.7956237793,0.010961736279374579
2020-01-06 09:30:00-05:00,101818.57794952393,341091.60916137695,0.004622696381007652
2020-01-07 09:30:00-05:00,108086.78462219238,513078.6373901367,0.06156250459298196
2020-01-08 09:30:00-05:00,99746.84049224854,778021.3318023682,-0.07715970235487501
2020-01-09 09:30:00-05:00,96317.37939071655,1170621.9747772217,-0.03438165143484906
2020-01-10 09:30:00-05:00,76049.54610290518,1441914.392790222,-0.21042758239500925
2020-01-11 09:30:00-05:00,48232.2032424924,1865922.219199371,-0.3657792095533642
2020-01-13 09:30:00-05:00,16451.490775298793,1680673.240596008,-0.6589106516120108
2020-01-14 09:30:00-05:00,28909.243994903285,2536838.271079254,0.757241601369602
2020-01-15 09:30:00-05:00,-12681.611412811559,3803282.784827423,-1.4386697699548052
2020-01-16 09:30:00-05:00,8111.848872374743,5669307.87798233,-1.6396544262647705
2020-01-17 09:30:00-05:00,23552.939841460437,8517004.761695098,1.9035230083823436
2020-01-18 09:30:00-05:00,-51554.26719360426,12802314.900710296,-3.188867612307694
2020-01-21 09:30:00-05:00,-62321.13025360182,19192732.30941696,0.20884523524627419
2020-01-22 09:30:00-05:00,88418.20283431932,28721438.513243865,-2.418751593151814
2020-01-23 09:30:00-05:00,-116609.7033508271,43215438.10361405,-2.318842722570757
2020-01-24 09:30:00-05:00,-358034.6709754914,65091368.196418,2.0703677368796933
2020-01-25 09:30:00-05:00,-2764215.016179651,96719751.23382035,6.720523290798478
2020-01-27 09:30:00-05:00,-4082608.6735702455,143761209.45142975,0.4769504722583815
2020-01-28 09:30:00-05:00,7522659.312227637,210812558.19953766,-2.8426109171146847
2020-01-29 09:30:00-05:00,5854228.113577247,320523723.62212217,-0.2217874197676949
2020-01-30 09:30:00-05:00,-1249262.967363,482560782.91649854,-1.21339499300782
2020-01-31 09:30:00-05:00,14150706.323969245,722300195.3228859,-12.327243897927422
2020-02-01 09:30:00-05:00,-4036902.412595272,1075707414.217402,-1.285279216469735
2020-02-03 09:30:00-05:00,-20659526.080640316,1596938493.5555062,4.117667946636979
2020-02-04 09:30:00-05:00,34173209.36462259,1596938493.5555062,-2.654113905189999
2020-02-05 09:30:00-05:00,-34317959.308347225,1596938493.5555062,-2.004235772595432
2020-02-06 09:30:00-05:00,-77282375.21782827,2299812990.6782937,1.2519513623594376
2020-02-07 09:30:00-05:00,-72222696.00869513,3079988586.4907937,-0.0654700272199441
2020-02-08 09:30:00-05:00,-84886709.4104023,4616623612.071245,0.17534672757414804
2020-02-10 09:30:00-05:00,-170326114.6177082,4984542138.248674,1.006510981527526
2020-02-11 09:30:00-05:00,-167469566.1263256,4984542138.248674,-0.016771054149823272
2020-02-12 09:30:00-05:00,-477021711.7039318,2161528475.848894,1.8484083570390628
2020-02-13 09:30:00-05:00,-518316424.83299065,573323379.2540455,0.08656778531432718
2020-02-14 09:30:00-05:00,-518519782.9432659,860802515.948061,0.0003923435579737955
2020-02-15 09:30:00-05:00,-614438661.9049969,-156879427.94991875,0.1849859583317499
2020-02-18 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.006558642067087783
2020-02-19 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-20 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-21 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-22 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-24 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-25 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-26 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-27 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-28 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-02-29 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-02 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-03 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-04 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-05 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-06 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-07 09:30:00-05:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-09 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-10 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-11 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-12 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-13 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-14 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-16 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-17 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-18 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-19 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-20 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-21 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-23 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-24 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-25 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-26 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-27 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-28 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-30 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-03-31 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-01 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-02 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-03 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-04 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-06 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-07 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-08 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-09 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-10 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-13 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-14 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-15 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-16 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-17 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-18 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-20 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-21 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
2020-04-22 09:30:00-04:00,-618468545.1606121,-618468545.1606121,0.0
