datetime,portfolio_value,cash,return
2020-02-03 09:30:00-05:00,100000.0,100000.0,
2020-02-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-03-02 09:30:00-05:00,100000.0,100000.0,0.0
2020-03-13 09:30:00-04:00,100000.0,100000.0,0.0
2020-03-14 09:30:00-04:00,100000.0,100000.0,0.0
2020-03-16 09:30:00-04:00,100000.0,100000.0,0.0
2020-03-24 09:30:00-04:00,100000.0,100000.0,0.0
2020-03-31 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-07 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-08 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-09 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-10 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-13 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-14 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-15 09:30:00-04:00,100000.0,100000.0,0.0
2020-04-16 09:30:00-04:00,100000.0,100000.0,0.0
2020-05-04 09:30:00-04:00,100000.0,100000.0,0.0
